slug	doi	status	pdf_url	landing
W2093650784		have		
W2098548022		have		
W2074427084	10.1002/ana.22068	closed		
W2135496343		have		
W2018986622		have		
W2020497815	10.1074/jbc.m507892200	oa_no_pdf	http://www.jbc.org/article/S0021925820662652/pdf	http://www.jbc.org/article/S0021925820662652/pdf
W1999061258	10.1074/jbc.m508460200	oa_no_pdf	http://www.jbc.org/article/S0021925820592235/pdf	http://www.jbc.org/article/S0021925820592235/pdf
W2095674336	10.1074/jbc.m504454200	oa_no_pdf	http://www.jbc.org/article/S0021925820707684/pdf	http://www.jbc.org/article/S0021925820707684/pdf
W2139700140	10.1001/archneur.61.12.1906	closed		
W2098757266	10.2337/db07-0171	oa_no_pdf	https://diabetesjournals.org/diabetes/article-pdf/56/7/1817/388160/zdb00707001817.pdf	https://diabetesjournals.org/diabetes/article-pdf/56/7/1817/388160/zdb00707001817.pdf
W2079481706	10.1074/jbc.m109.081950	oa_no_pdf	http://www.jbc.org/article/S0021925819637725/pdf	http://www.jbc.org/article/S0021925819637725/pdf
W1986400971	10.1212/wnl.0b013e3181dd4dd8	closed		
W2005740454	10.1074/jbc.m709715200	oa_no_pdf	http://www.jbc.org/article/S002192582081566X/pdf	http://www.jbc.org/article/S002192582081566X/pdf
W2149723353	10.2174/157015910792246209	oa_no_pdf	http://www.eurekaselect.com/article/17262	http://www.eurekaselect.com/article/17262
W2114185596	10.1074/jbc.m607159200	oa_no_pdf		https://doi.org/10.1074/jbc.m607159200
W2038083781	10.1097/01.jnen.0000196133.74087.cb	closed		
W2037160815	10.1021/bi701079z	closed		
W2151915265	10.3174/ajnr.a0949	oa_no_pdf	https://www.ajnr.org/content/ajnr/29/5/944.full.pdf	https://www.ajnr.org/content/ajnr/29/5/944.full.pdf
W2153828345	10.1001/archneur.65.9.1202	oa_no_pdf		https://doi.org/10.7916/d89886sd
W1982748988	10.1074/jbc.m500939200	oa_no_pdf	http://www.jbc.org/article/S0021925820660525/pdf	http://www.jbc.org/article/S0021925820660525/pdf
W2151966408		have		
W2167099782	10.1074/jbc.m808755200	oa_no_pdf	http://www.jbc.org/article/S0021925819821130/pdf	http://www.jbc.org/article/S0021925819821130/pdf
W2057431165	10.1212/01.wnl.0000247046.90574.0f	closed		
W2104999604	10.1136/jnnp.2005.063388	oa_no_pdf	https://jnnp.bmj.com/content/jnnp/76/12/1624.full.pdf	https://jnnp.bmj.com/content/jnnp/76/12/1624.full.pdf
W2043604922	10.1155/jbb/2006/35936	oa_no_pdf	https://downloads.hindawi.com/journals/bmri/2006/035936.pdf	https://downloads.hindawi.com/journals/bmri/2006/035936.pdf
W2063509852	10.1212/01.wnl.0000284603.85621.aa	closed		
W1855589073	10.1194/jlr.m300526-jlr200	oa_no_pdf	http://www.jlr.org/article/S0022227520318095/pdf	http://www.jlr.org/article/S0022227520318095/pdf
W1997942372	10.1001/jama.2009.1988	closed		
W2419528380		closed		
W2129208383	10.1093/geront/45.5.676	oa_no_pdf	https://academic.oup.com/gerontologist/article-pdf/45/5/676/1841364/676.pdf	https://academic.oup.com/gerontologist/article-pdf/45/5/676/1841364/676.pdf
W2013435225	10.1212/wnl.0b013e3181a2e896	closed		
W2102200779	10.2174/156720509787602870	closed		
W1970353438	10.1001/archneur.65.12.1621	oa_no_pdf		https://www.ncbi.nlm.nih.gov/pmc/articles/2743393
W2169490359	10.1001/archneurol.2010.189	oa_no_pdf		https://www.ncbi.nlm.nih.gov/pmc/articles/3006003
W2129636426	10.1074/jbc.m807345200	oa_no_pdf		https://doi.org/10.1074/jbc.m807345200
W1530753532		closed		
W2053338655	10.1097/01.wad.0000213870.40300.21	closed		
W2054077463	10.1097/01.psy.0000138118.62018.87	closed		
W2118548839	10.3389/fnins.2010.00044	oa_no_pdf		https://doi.org/10.3389/fnins.2010.00044
W2063363383	10.1097/01.wad.0000213857.89613.10	closed		
W1495830360		closed		
W2162906229	10.1001/archneur.65.12.1640	oa_no_pdf	https://jamanetwork.com/journals/jamaneurology/articlepdf/1107513/noc80057_1640_1648.pdf	https://jamanetwork.com/journals/jamaneurology/articlepdf/1107513/noc80057_1640_1648.pdf
W2035416600	10.1159/000217729	oa_no_pdf		https://hull-repository.worktribe.com/output/4455157
W2088617390	10.1001/archneur.61.11.1743	closed		
W2145632240		have		
W1986475591	10.1097/01.jnen.0000218442.07664.04	closed		
W2103161598	10.1080/02713680802484637	closed		
W2131388554	10.1212/wnl.0b013e3181f11deb	closed		
W2018071099	10.1111/j.1600-0404.1990.tb00936.x	closed		
W2049884888	10.1097/wad.0b013e31818b1c2c	closed		
W2050937684	10.1002/gps.1891	closed		
W2003308281	10.1212/wnl.0b013e3181d52785	oa_no_pdf	https://n.neurology.org/content/neurology/74/10/798.full.pdf	https://n.neurology.org/content/neurology/74/10/798.full.pdf
W2024953136	10.1159/000289225	closed		
W2038672689	10.1074/jbc.m414019200	oa_no_pdf	http://www.jbc.org/article/S0021925820659786/pdf	http://www.jbc.org/article/S0021925820659786/pdf
W2094613784	10.1177/155005940503600210	closed		
W2028902657	10.1111/j.1750-3639.2008.00194.x	closed		
W2078675004	10.2147/ndt.s3739	oa_no_pdf	https://www.dovepress.com/getfile.php?fileID=3811	https://www.dovepress.com/getfile.php?fileID=3811
W2184767677	10.17712/1658-3183.1806	closed		
W2049299089	10.1074/jbc.m109.016089	oa_no_pdf	http://www.jbc.org/article/S0021925817484079/pdf	http://www.jbc.org/article/S0021925817484079/pdf
W2050629539	10.1159/000241881	closed		
W2005742064	10.1097/wad.0b013e31815bf8a5	closed		
W1993703204	10.1097/01.jnen.0000173891.17176.5b	closed		
W2000443527	10.1159/000313981	closed		
W2003711757	10.1097/00002093-200401000-00006	closed		
W2153344477	10.1093/gerona/glq073	oa_no_pdf	https://academic.oup.com/biomedgerontology/article-pdf/65A/9/1004/2276728/glq073.pdf	https://academic.oup.com/biomedgerontology/article-pdf/65A/9/1004/2276728/glq073.pdf
W2065111467	10.1016/s1028-4559(09)60303-x	oa_no_pdf		https://doi.org/10.1016/s1028-4559(09)60303-x
W2094888653	10.1159/000313903	closed		
W1992355246	10.1097/nen.0b013e31816fc9b6	oa_no_pdf	https://academic.oup.com/jnen/article-pdf/67/5/428/9558218/67-5-428.pdf	https://academic.oup.com/jnen/article-pdf/67/5/428/9558218/67-5-428.pdf
W1980462673	10.1080/14992020400022637	closed		
W2007178963	10.2174/1573395054065179	closed		
W1986545022	10.1097/wad.0b013e3181e6a17a	oa_no_pdf		https://doi.org/10.7916/d8xp8hfc
W2306633300	10.33588/rn.5011.2009714	closed		
